,county code,county,msa code,msa title,csa code,csa title,msa_name,msa_first,state,msa_short
30,1087,"macon, alabama",c1222,"auburn-opelika, al msa",cs194,"columbus-auburn-opelika, ga-al csa",auburn-opelika,auburn,al,"auburn, al"
31,1089,"madison, alabama",c2662,"huntsville, al msa",cs290,"huntsville-decatur-albertville, al-tn csa",huntsville,huntsville,al,"huntsville, al"
32,1095,"marshall, alabama",c1070,"albertville, al microsa",cs290,"huntsville-decatur-albertville, al-tn csa",albertville,albertville,,
33,1097,"mobile, alabama",c3366,"mobile, al msa",cs380,"mobile-daphne-fairhope, al csa",mobile,mobile,al,"mobile, al"
34,1101,"montgomery, alabama",c3386,"montgomery, al msa",cs388,"montgomery-selma, al csa",montgomery,montgomery,al,"montgomery, al"
35,1103,"morgan, alabama",c1946,"decatur, al msa",cs290,"huntsville-decatur-albertville, al-tn csa",decatur,decatur,al,"decatur, al"
36,1107,"pickens, alabama",c4622,"tuscaloosa, al msa",,,tuscaloosa,tuscaloosa,al,"tuscaloosa, al"
37,1109,"pike, alabama",c4598,"troy, al microsa",,,troy,troy,,
38,1113,"russell, alabama",c1798,"columbus, ga-al msa",cs194,"columbus-auburn-opelika, ga-al csa",columbus,columbus,,
39,1115,"st. clair, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
40,1117,"shelby, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
41,1121,"talladega, alabama",c4518,"talladega-sylacauga, al microsa",cs142,"birmingham-cullman-talladega, al csa",talladega-sylacauga,talladega,,
42,1123,"tallapoosa, alabama",c1076,"alexander city, al microsa",cs194,"columbus-auburn-opelika, ga-al csa",alexander city,alexander city,,
43,1125,"tuscaloosa, alabama",c4622,"tuscaloosa, al msa",,,tuscaloosa,tuscaloosa,al,"tuscaloosa, al"
44,1127,"walker, alabama",c1382,"birmingham, al msa",cs142,"birmingham-cullman-talladega, al csa",birmingham,birmingham,al,"birmingham, al"
45,2020,"anchorage municipality, alaska",c1126,"anchorage, ak msa",,,anchorage,anchorage,ak,"anchorage, ak"
46,2090,"fairbanks north star borough, alaska",c2182,"fairbanks-college, ak msa",,,fairbanks-college,fairbanks,ak,"fairbanks, ak"
47,2110,"juneau city and borough, alaska",c2794,"juneau, ak microsa",,,juneau,juneau,,
48,2130,"ketchikan gateway borough, alaska",c2854,"ketchikan, ak microsa",,,ketchikan,ketchikan,,
49,2170,"matanuska-susitna borough, alaska",c1126,"anchorage, ak msa",,,anchorage,anchorage,ak,"anchorage, ak"
50,4003,"cochise, arizona",c4342,"sierra vista-douglas, az msa",,,sierra vista-douglas,sierra vista,az,"sierra vista, az"
51,4005,"coconino, arizona",c2238,"flagstaff, az msa",,,flagstaff,flagstaff,az,"flagstaff, az"
52,4007,"gila, arizona",c3774,"payson, az microsa",cs429,"phoenix-mesa, az csa",payson,payson,,
53,4009,"graham, arizona",c4094,"safford, az microsa",,,safford,safford,,
54,4013,"maricopa, arizona",c3806,"phoenix-mesa-chandler, az msa",cs429,"phoenix-mesa, az csa",phoenix-mesa-chandler,phoenix,az,"phoenix, az"
55,4015,"mohave, arizona",c2942,"lake havasu city-kingman, az msa",,,lake havasu city-kingman,lake havasu city,az,"lake havasu city, az"
56,4017,"navajo, arizona",c4332,"show low, az microsa",,,show low,show low,,
57,4019,"pima, arizona",c4606,"tucson, az msa",cs536,"tucson-nogales, az csa",tucson,tucson,az,"tucson, az"
58,4021,"pinal, arizona",c3806,"phoenix-mesa-chandler, az msa",cs429,"phoenix-mesa, az csa",phoenix-mesa-chandler,phoenix,az,"phoenix, az"
59,4023,"santa cruz, arizona",c3570,"nogales, az microsa",cs536,"tucson-nogales, az csa",nogales,nogales,,
60,4025,"yavapai, arizona",c3915,"prescott valley-prescott, az msa",,,prescott valley-prescott,prescott valley,az,"prescott valley, az"
61,4027,"yuma, arizona",c4974,"yuma, az msa",,,yuma,yuma,az,"yuma, az"
62,5005,"baxter, arkansas",c3426,"mountain home, ar microsa",,,mountain home,mountain home,,
63,5007,"benton, arkansas",c2222,"fayetteville-springdale-rogers, ar msa",,,fayetteville-springdale-rogers,fayetteville,ar,"fayetteville, ar"
64,5009,"boone, arkansas",c2546,"harrison, ar microsa",,,harrison,harrison,,
65,5013,"calhoun, arkansas",c1578,"camden, ar microsa",,,camden,camden,,
66,5019,"clark, arkansas",c1166,"arkadelphia, ar microsa",,,arkadelphia,arkadelphia,,
67,5025,"cleveland, arkansas",c3822,"pine bluff, ar microsa",cs340,"little rock-north little rock, ar csa",pine bluff,pine bluff,,
68,5027,"columbia, arkansas",c3162,"magnolia, ar microsa",,,magnolia,magnolia,,
69,5031,"craighead, arkansas",c2786,"jonesboro, ar msa",cs308,"jonesboro-paragould, ar csa",jonesboro,jonesboro,ar,"jonesboro, ar"
70,5033,"crawford, arkansas",c2290,"fort smith, ar-ok msa",,,fort smith,fort smith,,
71,5035,"crittenden, arkansas",c3282,"memphis, tn-ms-ar msa",cs368,"memphis-clarksdale-forrest city, tn-ms-ar csa",memphis,memphis,,
72,5045,"faulkner, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
73,5051,"garland, arkansas",c2630,"hot springs, ar msa",cs284,"hot springs-malvern, ar csa",hot springs,hot springs,ar,"hot springs, ar"
74,5053,"grant, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
75,5055,"greene, arkansas",c3750,"paragould, ar microsa",cs308,"jonesboro-paragould, ar csa",paragould,paragould,,
76,5059,"hot spring, arkansas",c3168,"malvern, ar microsa",cs284,"hot springs-malvern, ar csa",malvern,malvern,,
77,5063,"independence, arkansas",c1290,"batesville, ar microsa",,,batesville,batesville,,
78,5069,"jefferson, arkansas",c3822,"pine bluff, ar microsa",cs340,"little rock-north little rock, ar csa",pine bluff,pine bluff,,
79,5081,"little river, arkansas",c4550,"texarkana, tx-ar msa",,,texarkana,texarkana,,
80,5085,"lonoke, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
81,5087,"madison, arkansas",c2222,"fayetteville-springdale-rogers, ar msa",,,fayetteville-springdale-rogers,fayetteville,ar,"fayetteville, ar"
82,5091,"miller, arkansas",c4550,"texarkana, tx-ar msa",,,texarkana,texarkana,,
83,5093,"mississippi, arkansas",c1418,"blytheville, ar microsa",,,blytheville,blytheville,,
84,5101,"newton, arkansas",c2546,"harrison, ar microsa",,,harrison,harrison,,
85,5103,"ouachita, arkansas",c1578,"camden, ar microsa",,,camden,camden,,
86,5105,"perry, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
87,5111,"poinsett, arkansas",c2786,"jonesboro, ar msa",cs308,"jonesboro-paragould, ar csa",jonesboro,jonesboro,ar,"jonesboro, ar"
88,5115,"pope, arkansas",c4078,"russellville, ar microsa",,,russellville,russellville,,
89,5119,"pulaski, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
90,5123,"st. francis, arkansas",c2262,"forrest city, ar microsa",cs368,"memphis-clarksdale-forrest city, tn-ms-ar csa",forrest city,forrest city,,
91,5125,"saline, arkansas",c3078,"little rock-north little rock-conway, ar msa",cs340,"little rock-north little rock, ar csa",little rock-north little rock-conway,little rock,ar,"little rock, ar"
92,5131,"sebastian, arkansas",c2290,"fort smith, ar-ok msa",,,fort smith,fort smith,,
93,5139,"union, arkansas",c2098,"el dorado, ar microsa",,,el dorado,el dorado,,
94,5143,"washington, arkansas",c2222,"fayetteville-springdale-rogers, ar msa",,,fayetteville-springdale-rogers,fayetteville,ar,"fayetteville, ar"
95,5145,"white, arkansas",c4262,"searcy, ar microsa",cs340,"little rock-north little rock, ar csa",searcy,searcy,,
96,5149,"yell, arkansas",c4078,"russellville, ar microsa",,,russellville,russellville,,
97,6001,"alameda, california",c4186,"san francisco-oakland-fremont, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san francisco-oakland-fremont,san francisco,ca,"san francisco, ca"
98,6003,"alpine, california",c2382,"gardnerville ranchos, nv-ca microsa",cs456,"reno-carson city-gardnerville ranchos, nv-ca csa",gardnerville ranchos,gardnerville ranchos,,
99,6007,"butte, california",c1702,"chico, ca msa",,,chico,chico,ca,"chico, ca"
100,6013,"contra costa, california",c4186,"san francisco-oakland-fremont, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san francisco-oakland-fremont,san francisco,ca,"san francisco, ca"
101,6015,"del norte, california",c1886,"crescent city, ca microsa",cs152,"brookings-crescent city, or-ca csa",crescent city,crescent city,,
102,6017,"el dorado, california",c4090,"sacramento-roseville-folsom, ca msa",cs472,"sacramento-roseville, ca csa",sacramento-roseville-folsom,sacramento,ca,"sacramento, ca"
103,6019,"fresno, california",c2342,"fresno, ca msa",cs260,"fresno-hanford-corcoran, ca csa",fresno,fresno,ca,"fresno, ca"
104,6023,"humboldt, california",c2170,"eureka-arcata, ca microsa",,,eureka-arcata,eureka,,
105,6025,"imperial, california",c2094,"el centro, ca msa",,,el centro,el centro,ca,"el centro, ca"
106,6027,"inyo, california",c1386,"bishop, ca microsa",,,bishop,bishop,,
107,6029,"kern, california",c1254,"bakersfield-delano, ca msa",,,bakersfield-delano,bakersfield,ca,"bakersfield, ca"
108,6031,"kings, california",c2526,"hanford-corcoran, ca msa",cs260,"fresno-hanford-corcoran, ca csa",hanford-corcoran,hanford,ca,"hanford, ca"
109,6033,"lake, california",c1734,"clearlake, ca microsa",,,clearlake,clearlake,,
110,6035,"lassen, california",c4500,"susanville, ca microsa",,,susanville,susanville,,
111,6037,"los angeles, california",c3108,"los angeles-long beach-anaheim, ca msa",cs348,"los angeles-long beach, ca csa",los angeles-long beach-anaheim,los angeles,ca,"los angeles, ca"
112,6039,"madera, california",c2342,"fresno, ca msa",cs260,"fresno-hanford-corcoran, ca csa",fresno,fresno,ca,"fresno, ca"
113,6041,"marin, california",c4186,"san francisco-oakland-fremont, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san francisco-oakland-fremont,san francisco,ca,"san francisco, ca"
114,6045,"mendocino, california",c4638,"ukiah, ca microsa",,,ukiah,ukiah,,
115,6047,"merced, california",c3290,"merced, ca msa",cs488,"san jose-san francisco-oakland, ca csa",merced,merced,ca,"merced, ca"
116,6053,"monterey, california",c4150,"salinas, ca msa",,,salinas,salinas,ca,"salinas, ca"
117,6055,"napa, california",c3490,"napa, ca msa",cs488,"san jose-san francisco-oakland, ca csa",napa,napa,ca,"napa, ca"
118,6057,"nevada, california",c4602,"truckee-grass valley, ca microsa",cs472,"sacramento-roseville, ca csa",truckee-grass valley,truckee,,
119,6059,"orange, california",c3108,"los angeles-long beach-anaheim, ca msa",cs348,"los angeles-long beach, ca csa",los angeles-long beach-anaheim,los angeles,ca,"los angeles, ca"
120,6061,"placer, california",c4090,"sacramento-roseville-folsom, ca msa",cs472,"sacramento-roseville, ca csa",sacramento-roseville-folsom,sacramento,ca,"sacramento, ca"
121,6065,"riverside, california",c4014,"riverside-san bernardino-ontario, ca msa",cs348,"los angeles-long beach, ca csa",riverside-san bernardino-ontario,riverside,ca,"riverside, ca"
122,6067,"sacramento, california",c4090,"sacramento-roseville-folsom, ca msa",cs472,"sacramento-roseville, ca csa",sacramento-roseville-folsom,sacramento,ca,"sacramento, ca"
123,6069,"san benito, california",c4194,"san jose-sunnyvale-santa clara, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san jose-sunnyvale-santa clara,san jose,ca,"san jose, ca"
124,6071,"san bernardino, california",c4014,"riverside-san bernardino-ontario, ca msa",cs348,"los angeles-long beach, ca csa",riverside-san bernardino-ontario,riverside,ca,"riverside, ca"
125,6073,"san diego, california",c4174,"san diego-chula vista-carlsbad, ca msa",,,san diego-chula vista-carlsbad,san diego,ca,"san diego, ca"
126,6075,"san francisco, california",c4186,"san francisco-oakland-fremont, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san francisco-oakland-fremont,san francisco,ca,"san francisco, ca"
127,6077,"san joaquin, california",c4470,"stockton-lodi, ca msa",cs488,"san jose-san francisco-oakland, ca csa",stockton-lodi,stockton,ca,"stockton, ca"
128,6079,"san luis obispo, california",c4202,"san luis obispo-paso robles, ca msa",,,san luis obispo-paso robles,san luis obispo,ca,"san luis obispo, ca"
129,6081,"san mateo, california",c4186,"san francisco-oakland-fremont, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san francisco-oakland-fremont,san francisco,ca,"san francisco, ca"
130,6083,"santa barbara, california",c4220,"santa maria-santa barbara, ca msa",,,santa maria-santa barbara,santa maria,ca,"santa maria, ca"
131,6085,"santa clara, california",c4194,"san jose-sunnyvale-santa clara, ca msa",cs488,"san jose-san francisco-oakland, ca csa",san jose-sunnyvale-santa clara,san jose,ca,"san jose, ca"
132,6087,"santa cruz, california",c4210,"santa cruz-watsonville, ca msa",cs488,"san jose-san francisco-oakland, ca csa",santa cruz-watsonville,santa cruz,ca,"santa cruz, ca"
133,6089,"shasta, california",c3982,"redding, ca msa",cs454,"redding-red bluff, ca csa",redding,redding,ca,"redding, ca"
134,6095,"solano, california",c4670,"vallejo, ca msa",cs488,"san jose-san francisco-oakland, ca csa",vallejo,vallejo,ca,"vallejo, ca"
135,6097,"sonoma, california",c4222,"santa rosa-petaluma, ca msa",,,santa rosa-petaluma,santa rosa,ca,"santa rosa, ca"
136,6099,"stanislaus, california",c3370,"modesto, ca msa",cs488,"san jose-san francisco-oakland, ca csa",modesto,modesto,ca,"modesto, ca"
137,6101,"sutter, california",c4970,"yuba city, ca msa",cs472,"sacramento-roseville, ca csa",yuba city,yuba city,ca,"yuba city, ca"
138,6103,"tehama, california",c3978,"red bluff, ca microsa",cs454,"redding-red bluff, ca csa",red bluff,red bluff,,
139,6107,"tulare, california",c4730,"visalia, ca msa",,,visalia,visalia,ca,"visalia, ca"
140,6109,"tuolumne, california",c4376,"sonora, ca microsa",,,sonora,sonora,,
141,6111,"ventura, california",c3710,"oxnard-thousand oaks-ventura, ca msa",cs348,"los angeles-long beach, ca csa",oxnard-thousand oaks-ventura,oxnard,ca,"oxnard, ca"
142,6113,"yolo, california",c4090,"sacramento-roseville-folsom, ca msa",cs472,"sacramento-roseville, ca csa",sacramento-roseville-folsom,sacramento,ca,"sacramento, ca"
143,6115,"yuba, california",c4970,"yuba city, ca msa",cs472,"sacramento-roseville, ca csa",yuba city,yuba city,ca,"yuba city, ca"
144,8001,"adams, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
145,8003,"alamosa, colorado",c1048,"alamosa, co microsa",,,alamosa,alamosa,,
146,8005,"arapahoe, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
147,8013,"boulder, colorado",c1450,"boulder, co msa",cs216,"denver-aurora-greeley, co csa",boulder,boulder,co,"boulder, co"
148,8014,"broomfield, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
149,8019,"clear creek, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
150,8021,"conejos, colorado",c1048,"alamosa, co microsa",,,alamosa,alamosa,,
151,8023,"costilla, colorado",c1048,"alamosa, co microsa",,,alamosa,alamosa,,
152,8031,"denver, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
153,8035,"douglas, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
154,8037,"eagle, colorado",c2078,"edwards, co microsa",cs233,"edwards-rifle, co csa",edwards,edwards,,
155,8039,"elbert, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
156,8041,"el paso, colorado",c1782,"colorado springs, co msa",,,colorado springs,colorado springs,co,"colorado springs, co"
157,8043,"fremont, colorado",c1586,"canon city, co microsa",cs444,"pueblo-canon city, co csa",canon city,canon city,,
158,8045,"garfield, colorado",c4009,"rifle, co microsa",cs233,"edwards-rifle, co csa",rifle,rifle,,
159,8047,"gilpin, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
160,8059,"jefferson, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
161,8065,"lake, colorado",c1472,"breckenridge, co microsa",,,breckenridge,breckenridge,,
162,8067,"la plata, colorado",c2042,"durango, co microsa",,,durango,durango,,
163,8069,"larimer, colorado",c2266,"fort collins-loveland, co msa",,,fort collins-loveland,fort collins,co,"fort collins, co"
164,8075,"logan, colorado",c4454,"sterling, co microsa",,,sterling,sterling,,
165,8077,"mesa, colorado",c2430,"grand junction, co msa",,,grand junction,grand junction,co,"grand junction, co"
166,8081,"moffat, colorado",c4446,"steamboat springs, co microsa",,,steamboat springs,steamboat springs,,
167,8085,"montrose, colorado",c3394,"montrose, co microsa",,,montrose,montrose,,
168,8087,"morgan, colorado",c2282,"fort morgan, co microsa",,,fort morgan,fort morgan,,
169,8093,"park, colorado",c1974,"denver-aurora-centennial, co msa",cs216,"denver-aurora-greeley, co csa",denver-aurora-centennial,denver,co,"denver, co"
170,8097,"pitkin, colorado",c4009,"rifle, co microsa",cs233,"edwards-rifle, co csa",rifle,rifle,,
171,8101,"pueblo, colorado",c3938,"pueblo, co msa",cs444,"pueblo-canon city, co csa",pueblo,pueblo,co,"pueblo, co"
172,8107,"routt, colorado",c4446,"steamboat springs, co microsa",,,steamboat springs,steamboat springs,,
173,8117,"summit, colorado",c1472,"breckenridge, co microsa",,,breckenridge,breckenridge,,
174,8119,"teller, colorado",c1782,"colorado springs, co msa",,,colorado springs,colorado springs,co,"colorado springs, co"
175,8123,"weld, colorado",c2454,"greeley, co msa",cs216,"denver-aurora-greeley, co csa",greeley,greeley,co,"greeley, co"
176,9110,"capitol planning region, connecticut",c2554,"hartford-west hartford-east hartford, ct msa",cs405,"new haven-hartford-waterbury, ct csa",hartford-west hartford-east hartford,hartford,ct,"hartford, ct"
177,9120,"greater bridgeport planning region, connecticut",c1486,"bridgeport-stamford-danbury, ct msa",cs408,"new york-newark, ny-nj-ct-pa csa",bridgeport-stamford-danbury,bridgeport,ct,"bridgeport, ct"
178,9130,"lower connecticut river valley planning region, connecticut",c2554,"hartford-west hartford-east hartford, ct msa",cs405,"new haven-hartford-waterbury, ct csa",hartford-west hartford-east hartford,hartford,ct,"hartford, ct"
179,9140,"naugatuck valley planning region, connecticut",c4793,"waterbury-shelton, ct msa",cs405,"new haven-hartford-waterbury, ct csa",waterbury-shelton,waterbury,ct,"waterbury, ct"
180,9150,"northeastern connecticut planning region, connecticut",c3948,"putnam, ct microsa",cs405,"new haven-hartford-waterbury, ct csa",putnam,putnam,,
181,9160,"northwest hills planning region, connecticut",c4586,"torrington, ct microsa",cs405,"new haven-hartford-waterbury, ct csa",torrington,torrington,,
182,9170,"south central connecticut planning region, connecticut",c3530,"new haven, ct msa",cs405,"new haven-hartford-waterbury, ct csa",new haven,new haven,ct,"new haven, ct"
183,9180,"southeastern connecticut planning region, connecticut",c3598,"norwich-new london-willimantic, ct msa",cs405,"new haven-hartford-waterbury, ct csa",norwich-new london-willimantic,norwich,ct,"norwich, ct"
184,9190,"western connecticut planning region, connecticut",c1486,"bridgeport-stamford-danbury, ct msa",cs408,"new york-newark, ny-nj-ct-pa csa",bridgeport-stamford-danbury,bridgeport,ct,"bridgeport, ct"
185,10001,"kent, delaware",c2010,"dover, de msa",cs428,"philadelphia-reading-camden, pa-nj-de-md csa",dover,dover,de,"dover, de"
186,10003,"new castle, delaware",c3798,"philadelphia-camden-wilmington, pa-nj-de-md msa",cs428,"philadelphia-reading-camden, pa-nj-de-md csa",philadelphia-camden-wilmington,philadelphia,,
187,10005,"sussex, delaware",c4258,"seaford, de microsa",,,seaford,seaford,,
188,11001,district of columbia,c4790,"washington-arlington-alexandria, dc-va-md-wv msa",cs548,"washington-baltimore-arlington, dc-md-va-wv-pa csa",washington-arlington-alexandria,washington,,
189,12001,"alachua, florida",c2354,"gainesville, fl msa",cs264,"gainesville-lake city, fl csa",gainesville,gainesville,fl,"gainesville, fl"
190,12003,"baker, florida",c2726,"jacksonville, fl msa",cs300,"jacksonville-kingsland-palatka, fl-ga csa",jacksonville,jacksonville,fl,"jacksonville, fl"
191,12005,"bay, florida",c3746,"panama city-panama city beach, fl msa",,,panama city-panama city beach,panama city,fl,"panama city, fl"
192,12009,"brevard, florida",c3734,"palm bay-melbourne-titusville, fl msa",,,palm bay-melbourne-titusville,palm bay,fl,"palm bay, fl"
193,12011,"broward, florida",c3310,"miami-fort lauderdale-west palm beach, fl msa",cs370,"miami-port st. lucie-fort lauderdale, fl csa",miami-fort lauderdale-west palm beach,miami,fl,"miami, fl"
194,12015,"charlotte, florida",c3946,"punta gorda, fl msa",cs412,"north port-bradenton, fl csa",punta gorda,punta gorda,fl,"punta gorda, fl"
195,12017,"citrus, florida",c2614,"homosassa springs, fl msa",,,homosassa springs,homosassa springs,fl,"homosassa springs, fl"
196,12019,"clay, florida",c2726,"jacksonville, fl msa",cs300,"jacksonville-kingsland-palatka, fl-ga csa",jacksonville,jacksonville,fl,"jacksonville, fl"
197,12021,"collier, florida",c3494,"naples-marco island, fl msa",cs163,"cape coral-fort myers-naples, fl csa",naples-marco island,naples,fl,"naples, fl"
198,12023,"columbia, florida",c2938,"lake city, fl microsa",cs264,"gainesville-lake city, fl csa",lake city,lake city,,
199,12027,"desoto, florida",c1158,"arcadia, fl microsa",cs412,"north port-bradenton, fl csa",arcadia,arcadia,,
200,12031,"duval, florida",c2726,"jacksonville, fl msa",cs300,"jacksonville-kingsland-palatka, fl-ga csa",jacksonville,jacksonville,fl,"jacksonville, fl"
201,12033,"escambia, florida",c3786,"pensacola-ferry pass-brent, fl msa",,,pensacola-ferry pass-brent,pensacola,fl,"pensacola, fl"
202,12035,"flagler, florida",c1966,"deltona-daytona beach-ormond beach, fl msa",cs422,"orlando-lakeland-deltona, fl csa",deltona-daytona beach-ormond beach,deltona,fl,"deltona, fl"
203,12039,"gadsden, florida",c4522,"tallahassee, fl msa",cs533,"tallahassee-bainbridge, fl-ga csa",tallahassee,tallahassee,fl,"tallahassee, fl"
204,12041,"gilchrist, florida",c2354,"gainesville, fl msa",cs264,"gainesville-lake city, fl csa",gainesville,gainesville,fl,"gainesville, fl"
205,12043,"glades, florida",c1750,"clewiston, fl microsa",cs163,"cape coral-fort myers-naples, fl csa",clewiston,clewiston,,
206,12051,"hendry, florida",c1750,"clewiston, fl microsa",cs163,"cape coral-fort myers-naples, fl csa",clewiston,clewiston,,
207,12053,"hernando, florida",c4530,"tampa-st. petersburg-clearwater, fl msa",,,tampa-st. petersburg-clearwater,tampa,fl,"tampa, fl"
208,12055,"highlands, florida",c4270,"sebring, fl msa",,,sebring,sebring,fl,"sebring, fl"
209,12057,"hillsborough, florida",c4530,"tampa-st. petersburg-clearwater, fl msa",,,tampa-st. petersburg-clearwater,tampa,fl,"tampa, fl"
