fips,county
,
,
,
,
,
9110.0,capitol
9120.0,greater bridgeport
9130.0,lower connecticut river valley
9140.0,naugatuck valley
9150.0,northeastern connecticut
9160.0,northwest hills
9170.0,south central connecticut
9180.0,southeastern connecticut
9190.0,western connecticut
11001.0,the district
10001.0,kent
10003.0,new castle
10005.0,sussex
12001.0,alachua
12003.0,baker
12005.0,bay
12007.0,bradford
12009.0,brevard
12011.0,broward
12013.0,calhoun
12015.0,charlotte
12017.0,citrus
12019.0,clay
12021.0,collier
12023.0,columbia
12086.0,miami-dade
12027.0,de soto
12029.0,dixie
12031.0,duval
12033.0,escambia
12035.0,flagler
12037.0,franklin
12039.0,gadsden
12041.0,gilchrist
12043.0,glades
12045.0,gulf
12047.0,hamilton
12049.0,hardee
12051.0,hendry
12053.0,hernando
12055.0,highlands
12057.0,hillsborough
12059.0,holmes
12061.0,indian river
12063.0,jackson
12065.0,jefferson
12067.0,lafayette
12069.0,lake
12071.0,lee
12073.0,leon
12075.0,levy
12077.0,liberty
12079.0,madison
12081.0,manatee
12083.0,marion
12085.0,martin
12087.0,monroe
12089.0,nassau
12091.0,okaloosa
12093.0,okeechobee
12095.0,orange
12097.0,osceola
12099.0,palm beach
12101.0,pasco
12103.0,pinellas
12105.0,polk
12107.0,putnam
12109.0,st. johns
12111.0,st. lucie
12113.0,santa rosa
12115.0,sarasota
12117.0,seminole
12119.0,sumter
12121.0,suwannee
12123.0,taylor
12125.0,union
12127.0,volusia
12129.0,wakulla
12131.0,walton
12133.0,washington
13001.0,appling
13003.0,atkinson
13005.0,bacon
13007.0,baker
13009.0,baldwin
13011.0,banks
13013.0,barrow
13015.0,bartow
13017.0,ben hill
13019.0,berrien
13021.0,bibb
13023.0,bleckley
13025.0,brantley
13027.0,brooks
13029.0,bryan
13031.0,bulloch
13033.0,burke
13035.0,butts
13037.0,calhoun
13039.0,camden
13043.0,candler
13045.0,carroll
13047.0,catoosa
13049.0,charlton
13051.0,chatham
13053.0,chattahoochee
13055.0,chattooga
13057.0,cherokee
13059.0,clarke
13061.0,clay
13063.0,clayton
13065.0,clinch
13067.0,cobb
13069.0,coffee
13071.0,colquitt
13073.0,columbia
13075.0,cook
13077.0,coweta
13079.0,crawford
13081.0,crisp
13083.0,dade
13085.0,dawson
13087.0,decatur
13089.0,de kalb
13091.0,dodge
13093.0,dooly
13095.0,dougherty
13097.0,douglas
13099.0,early
13101.0,echols
13103.0,effingham
13105.0,elbert
13107.0,emanuel
13109.0,evans
13111.0,fannin
13113.0,fayette
13115.0,floyd
13117.0,forsyth
13119.0,franklin
13121.0,fulton
13123.0,gilmer
13125.0,glascock
13127.0,glynn
13129.0,gordon
13131.0,grady
13133.0,greene
13135.0,gwinnett
13137.0,habersham
13139.0,hall
13141.0,hancock
13143.0,haralson
13145.0,harris
13147.0,hart
13149.0,heard
13151.0,henry
13153.0,houston
13155.0,irwin
13157.0,jackson
13159.0,jasper
13161.0,jeff davis
13163.0,jefferson
13165.0,jenkins
13167.0,johnson
13169.0,jones
13171.0,lamar
13173.0,lanier
13175.0,laurens
13177.0,lee
13179.0,liberty
13181.0,lincoln
13183.0,long
13185.0,lowndes
13187.0,lumpkin
13189.0,mc duffie
13191.0,mc intosh
13193.0,macon
13195.0,madison
13197.0,marion
13199.0,meriwether
13201.0,miller
13205.0,mitchell
13207.0,monroe
13209.0,montgomery
13211.0,morgan
13213.0,murray
13215.0,muscogee
13217.0,newton
13219.0,oconee
13221.0,oglethorpe
13223.0,paulding
13225.0,peach
13227.0,pickens
13229.0,pierce
13231.0,pike
13233.0,polk
13235.0,pulaski
13237.0,putnam
13239.0,quitman
13241.0,rabun
13243.0,randolph
13245.0,richmond
13247.0,rockdale
13249.0,schley
13251.0,screven
13253.0,seminole
13255.0,spalding
13257.0,stephens
13259.0,stewart
13261.0,sumter
13263.0,talbot
13265.0,taliaferro
13267.0,tattnall
13269.0,taylor
13271.0,telfair
13273.0,terrell
13275.0,thomas
13277.0,tift
13279.0,toombs
13281.0,towns
13283.0,treutlen
13285.0,troup
13287.0,turner
13289.0,twiggs
13291.0,union
13293.0,upson
13295.0,walker
13297.0,walton
13299.0,ware
13301.0,warren
13303.0,washington
13305.0,wayne
13307.0,webster
13309.0,wheeler
13311.0,white
13313.0,whitfield
13315.0,wilcox
13317.0,wilkes
13319.0,wilkinson
13321.0,worth
15001.0,hawaii
15003.0,honolulu
15005.0,kalawao
15007.0,kauai
15009.0,maui
19001.0,adair
19003.0,adams
19005.0,allamakee
19007.0,appanoose
19009.0,audubon
19011.0,benton
19013.0,black hawk
19015.0,boone
19017.0,bremer
19019.0,buchanan
19021.0,buena vista
19023.0,butler
19025.0,calhoun
19027.0,carroll
19029.0,cass
19031.0,cedar
19033.0,cerro gordo
19035.0,cherokee
19037.0,chickasaw
19039.0,clarke
19041.0,clay
19043.0,clayton
19045.0,clinton
19047.0,crawford
19049.0,dallas
19051.0,davis
19053.0,decatur
19055.0,delaware
19057.0,des moines
19059.0,dickinson
19061.0,dubuque
19063.0,emmet
19065.0,fayette
19067.0,floyd
19069.0,franklin
19071.0,fremont
19073.0,greene
19075.0,grundy
19077.0,guthrie
19079.0,hamilton
19081.0,hancock
19083.0,hardin
19085.0,harrison
19087.0,henry
19089.0,howard
19091.0,humboldt
19093.0,ida
19095.0,iowa
19097.0,jackson
19099.0,jasper
19101.0,jefferson
19103.0,johnson
19105.0,jones
19107.0,keokuk
19109.0,kossuth
19111.0,lee
19113.0,linn
19115.0,louisa
19117.0,lucas
19119.0,lyon
19121.0,madison
19123.0,mahaska
19125.0,marion
19127.0,marshall
19129.0,mills
19131.0,mitchell
19133.0,monona
19135.0,monroe
19137.0,montgomery
19139.0,muscatine
19141.0,obrien
19143.0,osceola
19145.0,page
19147.0,palo alto
19149.0,plymouth
19151.0,pocahontas
19153.0,polk
19155.0,pottawattamie
19157.0,poweshiek
19159.0,ringgold
19161.0,sac
19163.0,scott
19165.0,shelby
19167.0,sioux
19169.0,story
19171.0,tama
19173.0,taylor
19175.0,union
19177.0,van buren
19179.0,wapello
19181.0,warren
19183.0,washington
19185.0,wayne
19187.0,webster
19189.0,winnebago
19191.0,winneshiek
19193.0,woodbury
19195.0,worth
19197.0,wright
16001.0,ada
16003.0,adams
16005.0,bannock
16007.0,bear lake
16009.0,benewah
16011.0,bingham
16013.0,blaine
16015.0,boise
16017.0,bonner
16019.0,bonneville
16021.0,boundary
16023.0,butte
16025.0,camas
16027.0,canyon
16029.0,caribou
16031.0,cassia
16033.0,clark
16035.0,clearwater
16037.0,custer
16039.0,elmore
16041.0,franklin
16043.0,fremont
16045.0,gem
16047.0,gooding
16049.0,idaho
16051.0,jefferson
16053.0,jerome
16055.0,kootenai
16057.0,latah
16059.0,lemhi
16061.0,lewis
16063.0,lincoln
16065.0,madison
16067.0,minidoka
16069.0,nez perce
16071.0,oneida
16073.0,owyhee
16075.0,payette
16077.0,power
16079.0,shoshone
16081.0,teton
16083.0,twin falls
16085.0,valley
16087.0,washington
17001.0,adams
17003.0,alexander
17005.0,bond
17007.0,boone
17009.0,brown
17011.0,bureau
17013.0,calhoun
17015.0,carroll
17017.0,cass
17019.0,champaign
17021.0,christian
17023.0,clark
17025.0,clay
17027.0,clinton
17029.0,coles
17031.0,cook
17033.0,crawford
17035.0,cumberland
17037.0,de kalb
17039.0,de witt
17041.0,douglas
17043.0,du page
17045.0,edgar
17047.0,edwards
17049.0,effingham
17051.0,fayette
17053.0,ford
17055.0,franklin
17057.0,fulton
17059.0,gallatin
17061.0,greene
17063.0,grundy
17065.0,hamilton
17067.0,hancock
17069.0,hardin
17071.0,henderson
17073.0,henry
17075.0,iroquois
17077.0,jackson
17079.0,jasper
17081.0,jefferson
17083.0,jersey
17085.0,jo daviess
17087.0,johnson
17089.0,kane
17091.0,kankakee
17093.0,kendall
17095.0,knox
17097.0,lake
17099.0,la salle
17101.0,lawrence
17103.0,lee
17105.0,livingston
17107.0,logan
17109.0,mc donough
17111.0,mc henry
17113.0,mc lean
17115.0,macon
17117.0,macoupin
17119.0,madison
17121.0,marion
17123.0,marshall
17125.0,mason
17127.0,massac
17129.0,menard
17131.0,mercer
17133.0,monroe
17135.0,montgomery
17137.0,morgan
17139.0,moultrie
17141.0,ogle
17143.0,peoria
17145.0,perry
17147.0,piatt
17149.0,pike
17151.0,pope
17153.0,pulaski
17155.0,putnam
17157.0,randolph
17159.0,richland
17161.0,rock island
17163.0,st. clair
17165.0,saline
17167.0,sangamon
17169.0,schuyler
17171.0,scott
17173.0,shelby
17175.0,stark
17177.0,stephenson
17179.0,tazewell
17181.0,union
17183.0,vermilion
17185.0,wabash
17187.0,warren
17189.0,washington
17191.0,wayne
17193.0,white
17195.0,whiteside
17197.0,will
17199.0,williamson
17201.0,winnebago
17203.0,woodford
18001.0,adams
18003.0,allen
18005.0,bartholomew
18007.0,benton
18009.0,blackford
18011.0,boone
18013.0,brown
18015.0,carroll
18017.0,cass
18019.0,clark
18021.0,clay
18023.0,clinton
18025.0,crawford
18027.0,daviess
18029.0,dearborn
18031.0,decatur
18033.0,de kalb
18035.0,delaware
18037.0,dubois
18039.0,elkhart
18041.0,fayette
18043.0,floyd
18045.0,fountain
18047.0,franklin
18049.0,fulton
18051.0,gibson
18053.0,grant
18055.0,greene
18057.0,hamilton
18059.0,hancock
18061.0,harrison
18063.0,hendricks
18065.0,henry
18067.0,howard
18069.0,huntington
18071.0,jackson
18073.0,jasper
18075.0,jay
18077.0,jefferson
18079.0,jennings
18081.0,johnson
18083.0,knox
18085.0,kosciusko
18087.0,lagrange
18089.0,lake
18091.0,la porte
18093.0,lawrence
18095.0,madison
18097.0,marion
18099.0,marshall
18101.0,martin
18103.0,miami
18105.0,monroe
18107.0,montgomery
18109.0,morgan
18111.0,newton
18113.0,noble
18115.0,ohio
18117.0,orange
18119.0,owen
18121.0,parke
18123.0,perry
18125.0,pike
18127.0,porter
18129.0,posey
18131.0,pulaski
18133.0,putnam
18135.0,randolph
18137.0,ripley
18139.0,rush
18141.0,st. joseph
18143.0,scott
18145.0,shelby
18147.0,spencer
18149.0,starke
18151.0,steuben
18153.0,sullivan
18155.0,switzerland
18157.0,tippecanoe
18159.0,tipton
18161.0,union
18163.0,vanderburgh
18165.0,vermillion
18167.0,vigo
18169.0,wabash
18171.0,warren
18173.0,warrick
18175.0,washington
18177.0,wayne
18179.0,wells
18181.0,white
18183.0,whitley
20001.0,allen
20003.0,anderson
20005.0,atchison
20007.0,barber
20009.0,barton
20011.0,bourbon
20013.0,brown
20015.0,butler
20017.0,chase
20019.0,chautauqua
20021.0,cherokee
20023.0,cheyenne
20025.0,clark
20027.0,clay
20029.0,cloud
20031.0,coffey
20033.0,comanche
20035.0,cowley
20037.0,crawford
20039.0,decatur
20041.0,dickinson
20043.0,doniphan
20045.0,douglas
20047.0,edwards
20049.0,elk
20051.0,ellis
20053.0,ellsworth
20055.0,finney
20057.0,ford
20059.0,franklin
20061.0,geary
20063.0,gove
20065.0,graham
20067.0,grant
20069.0,gray
20071.0,greeley
20073.0,greenwood
20075.0,hamilton
20077.0,harper
20079.0,harvey
20081.0,haskell
20083.0,hodgeman
20085.0,jackson
20087.0,jefferson
20089.0,jewell
20091.0,johnson
20093.0,kearny
20095.0,kingman
20097.0,kiowa
20099.0,labette
20101.0,lane
20103.0,leavenworth
20105.0,lincoln
20107.0,linn
20109.0,logan
20111.0,lyon
20113.0,mcpherson
20115.0,marion
20117.0,marshall
20119.0,meade
20121.0,miami
20123.0,mitchell
20125.0,montgomery
20127.0,morris
20129.0,morton
20131.0,nemaha
20133.0,neosho
20135.0,ness
20137.0,norton
20139.0,osage
20141.0,osborne
20143.0,ottawa
20145.0,pawnee
20147.0,phillips
20149.0,pottawatomie
20151.0,pratt
20153.0,rawlins
20155.0,reno
20157.0,republic
20159.0,rice
20161.0,riley
20163.0,rooks
20165.0,rush
20167.0,russell
20169.0,saline
20171.0,scott
20173.0,sedgwick
20175.0,seward
20177.0,shawnee
20179.0,sheridan
20181.0,sherman
20183.0,smith
20185.0,stafford
20187.0,stanton
20189.0,stevens
20191.0,sumner
20193.0,thomas
20195.0,trego
20197.0,wabaunsee
20199.0,wallace
20201.0,washington
20203.0,wichita
20205.0,wilson
20207.0,woodson
20209.0,wyandotte
21001.0,adair
21003.0,allen
21005.0,anderson
21007.0,ballard
21009.0,barren
21011.0,bath
21013.0,bell
21015.0,boone
21017.0,bourbon
21019.0,boyd
21021.0,boyle
21023.0,bracken
21025.0,breathitt
21027.0,breckinridge
21029.0,bullitt
21031.0,butler
21033.0,caldwell
21035.0,calloway
21037.0,campbell
21039.0,carlisle
21041.0,carroll
21043.0,carter
21045.0,casey
21047.0,christian
21049.0,clark
21051.0,clay
21053.0,clinton
21055.0,crittenden
21057.0,cumberland
21059.0,daviess
21061.0,edmonson
21063.0,elliott
21065.0,estill
21067.0,fayette
21069.0,fleming
21071.0,floyd
21073.0,franklin
21075.0,fulton
21077.0,gallatin
21079.0,garrard
21081.0,grant
21083.0,graves
21085.0,grayson
21087.0,green
21089.0,greenup
21091.0,hancock
21093.0,hardin
21095.0,harlan
21097.0,harrison
21099.0,hart
21101.0,henderson
21103.0,henry
21105.0,hickman
21107.0,hopkins
21109.0,jackson
21111.0,jefferson
21113.0,jessamine
21115.0,johnson
21117.0,kenton
21119.0,knott
21121.0,knox
21123.0,larue
21125.0,laurel
21127.0,lawrence
21129.0,lee
21131.0,leslie
21133.0,letcher
21135.0,lewis
21137.0,lincoln
21139.0,livingston
21141.0,logan
21143.0,lyon
21145.0,mc cracken
21147.0,mc creary
21149.0,mc lean
21151.0,madison
21153.0,magoffin
21155.0,marion
21157.0,marshall
21159.0,martin
21161.0,mason
21163.0,meade
21165.0,menifee
21167.0,mercer
21169.0,metcalfe
21171.0,monroe
21173.0,montgomery
21175.0,morgan
21177.0,muhlenberg
21179.0,nelson
21181.0,nicholas
21183.0,ohio
21185.0,oldham
21187.0,owen
21189.0,owsley
21191.0,pendleton
21193.0,perry
21195.0,pike
21197.0,powell
21199.0,pulaski
21201.0,robertson
21203.0,rockcastle
21205.0,rowan
21207.0,russell
21209.0,scott
21211.0,shelby
21213.0,simpson
21215.0,spencer
21217.0,taylor
21219.0,todd
21221.0,trigg
21223.0,trimble
21225.0,union
21227.0,warren
21229.0,washington
21231.0,wayne
21233.0,webster
21235.0,whitley
21237.0,wolfe
21239.0,woodford
22001.0,acadia
22003.0,allen
22005.0,ascension
22007.0,assumption
22009.0,avoyelles
22011.0,beauregard
22013.0,bienville
22015.0,bossier
22017.0,caddo
22019.0,calcasieu
22021.0,caldwell
22023.0,cameron
22025.0,catahoula
22027.0,claiborne
22029.0,concordia
22031.0,de soto
22033.0,e. baton rouge
22035.0,east carroll
22037.0,east feliciana
22039.0,evangeline
22041.0,franklin
22043.0,grant
22045.0,iberia
22047.0,iberville
22049.0,jackson
22051.0,jefferson
22053.0,jeffrson davis
22055.0,lafayette
22057.0,lafourche
22059.0,lasalle
22061.0,lincoln
22063.0,livingston
22065.0,madison
22067.0,morehouse
22069.0,natchitoches
22071.0,orleans
22073.0,ouachita
22075.0,plaquemines
22077.0,pointe coupee
22079.0,rapides
22081.0,red river
22083.0,richland
22085.0,sabine
22087.0,st. bernard
22089.0,st. charles
22091.0,st. helena
22093.0,st. james
22095.0,st. john baptist
22097.0,st. landry
22099.0,st. martin
22101.0,st. mary
22103.0,st. tammany
22105.0,tangipahoa
22107.0,tensas
22109.0,terrebonne
22111.0,union
22113.0,vermilion
22115.0,vernon
22117.0,washington
22119.0,webster
22121.0,w. baton rouge
22123.0,west carroll
22125.0,west feliciana
22127.0,winn
25001.0,barnstable
25003.0,berkshire
25005.0,bristol
25007.0,dukes
25009.0,essex
25011.0,franklin
25013.0,hampden
25015.0,hampshire
25017.0,middlesex
25019.0,nantucket
25021.0,norfolk
25023.0,plymouth
25025.0,suffolk
25027.0,worcester
24001.0,allegany
24003.0,anne arundel
24005.0,baltimore
24510.0,baltimore city
24005.0,baltimore
24510.0,baltimore city
24009.0,calvert
24011.0,caroline
24013.0,carroll
24015.0,cecil
24017.0,charles
24019.0,dorchester
24021.0,frederick
24023.0,garrett
24025.0,harford
24027.0,howard
24029.0,kent
24031.0,montgomery
24033.0,prince georges
24035.0,queen annes
24037.0,st. marys
24039.0,somerset
24041.0,talbot
24043.0,washington
24045.0,wicomico
24047.0,worcester
23001.0,androscoggin
23003.0,aroostook
23005.0,cumberland
23007.0,franklin
23009.0,hancock
23011.0,kennebec
23013.0,knox
23015.0,lincoln
23017.0,oxford
23019.0,penobscot
23021.0,piscataquis
23023.0,sagadahoc
23025.0,somerset
23027.0,waldo
23029.0,washington
23031.0,york
26001.0,alcona
26003.0,alger
26005.0,allegan
26007.0,alpena
26009.0,antrim
26011.0,arenac
26013.0,baraga
26015.0,barry
26017.0,bay
26019.0,benzie
26021.0,berrien
26023.0,branch
26025.0,calhoun
26027.0,cass
26029.0,charlevoix
26031.0,cheboygan
26033.0,chippewa
26035.0,clare
26037.0,clinton
26039.0,crawford
26041.0,delta
26043.0,dickinson
26045.0,eaton
26047.0,emmet
26049.0,genesee
26051.0,gladwin
26053.0,gogebic
26055.0,grand traverse
26057.0,gratiot
26059.0,hillsdale
26061.0,houghton
26063.0,huron
26065.0,ingham
26067.0,ionia
26069.0,iosco
26071.0,iron
26073.0,isabella
26075.0,jackson
26077.0,kalamazoo
26079.0,kalkaska
26081.0,kent
26083.0,keweenaw
26085.0,lake
26087.0,lapeer
26089.0,leelanau
26091.0,lenawee
26093.0,livingston
26095.0,luce
26097.0,mackinac
26099.0,macomb
26101.0,manistee
26103.0,marquette
26105.0,mason
26107.0,mecosta
26109.0,menominee
26111.0,midland
26113.0,missaukee
26115.0,monroe
26117.0,montcalm
26119.0,montmorency
26121.0,muskegon
26123.0,newaygo
26125.0,oakland
26127.0,oceana
26129.0,ogemaw
26131.0,ontonagon
26133.0,osceola
26135.0,oscoda
26137.0,otsego
26139.0,ottawa
26141.0,presque isle
26143.0,roscommon
26145.0,saginaw
26147.0,st. clair
26149.0,st. joseph
26151.0,sanilac
26153.0,schoolcraft
26155.0,shiawassee
26157.0,tuscola
26159.0,van buren
26161.0,washtenaw
26163.0,wayne
26165.0,wexford
27001.0,aitkin
27003.0,anoka
27005.0,becker
27007.0,beltrami
27009.0,benton
27011.0,big stone
27013.0,blue earth
27015.0,brown
27017.0,carlton
27019.0,carver
27021.0,cass
27023.0,chippewa
27025.0,chisago
27027.0,clay
27029.0,clearwater
27031.0,cook
27033.0,cottonwood
27035.0,crow wing
27037.0,dakota
27039.0,dodge
27041.0,douglas
27043.0,faribault
27045.0,fillmore
27047.0,freeborn
27049.0,goodhue
27051.0,grant
27053.0,hennepin
27055.0,houston
27057.0,hubbard
27059.0,isanti
27061.0,itasca
27063.0,jackson
27065.0,kanabec
27067.0,kandiyohi
27069.0,kittson
27071.0,koochiching
27073.0,lac qui parle
27075.0,lake
27077.0,lake of  woods
27079.0,le sueur
27081.0,lincoln
27083.0,lyon
27085.0,mc leod
27087.0,mahnomen
27089.0,marshall
27091.0,martin
27093.0,meeker
27095.0,mille lacs
27097.0,morrison
27099.0,mower
27101.0,murray
27103.0,nicollet
27105.0,nobles
27107.0,norman
27109.0,olmsted
27111.0,otter tail
27113.0,pennington
27115.0,pine
27117.0,pipestone
27119.0,polk
27121.0,pope
27123.0,ramsey
27125.0,red lake
27127.0,redwood
27129.0,renville
27131.0,rice
27133.0,rock
27135.0,roseau
27137.0,st. louis
27139.0,scott
27141.0,sherburne
27143.0,sibley
27145.0,stearns
27147.0,steele
27149.0,stevens
27151.0,swift
27153.0,todd
27155.0,traverse
27157.0,wabasha
27159.0,wadena
27161.0,waseca
27163.0,washington
27165.0,watonwan
27167.0,wilkin
27169.0,winona
27171.0,wright
27173.0,yellow medcine
29001.0,adair
29003.0,andrew
29005.0,atchison
29007.0,audrain
29009.0,barry
29011.0,barton
29013.0,bates
29015.0,benton
29017.0,bollinger
29019.0,boone
29021.0,buchanan
29023.0,butler
29025.0,caldwell
29027.0,callaway
29029.0,camden
29031.0,cape girardeau
29033.0,carroll
29035.0,carter
29037.0,cass
29039.0,cedar
29041.0,chariton
29043.0,christian
29045.0,clark
29047.0,clay
29049.0,clinton
29051.0,cole
29053.0,cooper
29055.0,crawford
29057.0,dade
29059.0,dallas
29061.0,daviess
29063.0,de kalb
29065.0,dent
29067.0,douglas
29069.0,dunklin
29071.0,franklin
29073.0,gasconade
29075.0,gentry
29077.0,greene
29079.0,grundy
29081.0,harrison
29083.0,henry
29085.0,hickory
29087.0,holt
29089.0,howard
29091.0,howell
29093.0,iron
29095.0,jackson
29097.0,jasper
29099.0,jefferson
29101.0,johnson
29103.0,knox
29105.0,laclede
29107.0,lafayette
29109.0,lawrence
29111.0,lewis
29113.0,lincoln
29115.0,linn
29117.0,livingston
29119.0,mc donald
29121.0,macon
29123.0,madison
29125.0,maries
29127.0,marion
29129.0,mercer
29131.0,miller
29133.0,mississippi
29135.0,moniteau
29137.0,monroe
29139.0,montgomery
29141.0,morgan
29143.0,new madrid
29145.0,newton
29147.0,nodaway
29149.0,oregon
29151.0,osage
29153.0,ozark
29155.0,pemiscot
29157.0,perry
29159.0,pettis
29161.0,phelps
29163.0,pike
29165.0,platte
29167.0,polk
29169.0,pulaski
29171.0,putnam
29173.0,ralls
29175.0,randolph
29177.0,ray
29179.0,reynolds
29181.0,ripley
29183.0,st. charles
29185.0,st. clair
29187.0,st. francois
29189.0,st. louis
29510.0,st. louis city
29189.0,st. louis
29510.0,st. louis city
29186.0,ste. genevieve
29195.0,saline
29197.0,schuyler
29199.0,scotland
29201.0,scott
29203.0,shannon
29205.0,shelby
29207.0,stoddard
29209.0,stone
29211.0,sullivan
29213.0,taney
29215.0,texas
29217.0,vernon
29219.0,warren
29221.0,washington
29223.0,wayne
29225.0,webster
29227.0,worth
29229.0,wright
28001.0,adams
28003.0,alcorn
28005.0,amite
28007.0,attala
